order_id,order_date,product,quantity,unit_price,customer
1001,2011-03-01,Widget,3,2.50,C1
1001,2011-03-01,Gadget,1,9.00,C1
1002,2011-03-01,Widget,5,2.50,C2
1002,2011-03-01,Gizmo,2,4.00,C2
1003,2011-03-02,Gadget,4,9.00,C3
1003,2011-03-02,Widget,6,2.50,C1
1004,2011-03-02,Gizmo,10,4.00,C4
1004,2011-03-02,Widget,1,2.50,C4
1005,2011-03-03,Widget,-2,2.50,C2
1005,2011-03-03,Gadget,7,9.00,C2
1006,2011-03-03,Gizmo,3,4.00,C5
1006,2011-03-03,Gadget,2,9.00,C5
1007,2011-03-04,Widget,8,2.50,C3
1008,2011-03-04,Gadget,2,9.00,C1
