invoice_no,invoice_type,invoice_date,invoice_year,invoice_quarter,invoice_month,invoice_dow,invoice_hour,is_complete_quarter,stock_code,description,line_type,is_product_line,is_revenue_line,quantity,unit_price,line_revenue,is_return,customer_id,is_identified_customer,country,is_country_known,operator_note,has_negative_price,is_extreme_quantity
INV00030,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P004,DELTA LAMP,PRODUCT,1,1,7,9.0,63.0,0,CUST030,1,Oz,1,note INV00030,0,0
INV00257,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P001,ALPHA MUG,PRODUCT,1,1,5,3.0,15.0,0,CUST035,1,Atlantis,1,note INV00257,0,0
INV00007,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Wonderland,1,note INV00007,0,0
INV00224,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,DISC,VOLUME DISCOUNT,DISCOUNT,0,1,1,-12.0,-12.0,0,,0,Wonderland,1,note INV00224,1,0
INV00221,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,MAN,MANUAL ADJUST,MANUAL,0,1,1,-25.0,-25.0,0,,0,Wonderland,1,note INV00221,1,0
INV00237,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,MAN,MANUAL ADJUST,MANUAL,0,1,1,-25.0,-25.0,0,,0,Oz,1,note INV00237,1,0
INV00202,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P005,EPSILON CLOCK,PRODUCT,1,1,12,12.0,144.0,0,CUST017,1,Atlantis,1,note INV00202,0,0
INV00167,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P001,ALPHA MUG,PRODUCT,1,1,6,3.0,18.0,0,CUST019,1,Narnia,1,note INV00167,0,0
INV00252,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,FEE,BANK FEE,FEE,0,1,1,-40.0,-40.0,0,,0,Narnia,1,note INV00252,1,0
INV00260,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P004,DELTA LAMP,PRODUCT,1,1,8,9.0,72.0,0,,0,Atlantis,1,note INV00260,0,0
INV00031,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,CUST031,1,Oz,1,note INV00031,0,0
INV00015,invoice,2021-03-08 12:00:00,2021,2021-Q1,2021-03,1,12,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,,0,Wonderland,1,note INV00015,0,0
INV00197,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P005,EPSILON CLOCK,PRODUCT,1,1,12,12.0,144.0,0,,0,Atlantis,1,note INV00197,0,0
INV00112,invoice,2021-05-20 14:00:00,2021,2021-Q2,2021-05,3,14,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,,0,Wonderland,1,note INV00112,0,0
INV00271,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,CAR,CARRIAGE,CARRIAGE,0,1,1,30.0,30.0,0,,0,Atlantis,1,note INV00271,0,0
INV00103,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,CAR,CARRIAGE,CARRIAGE,0,1,1,30.0,30.0,0,,0,Atlantis,1,note INV00103,0,0
INV00131,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P002,BETA NOTEBOOK,PRODUCT,1,1,13,5.0,65.0,0,CUST020,1,Oz,1,note INV00131,0,0
INV00136,invoice,2021-05-20 14:00:00,2021,2021-Q2,2021-05,3,14,1,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST025,1,Oz,1,note INV00136,0,0
INV00079,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,CUST005,1,Atlantis,1,note INV00079,0,0
INV00118,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P004,DELTA LAMP,PRODUCT,1,1,7,9.0,63.0,0,CUST007,1,Wonderland,1,note INV00118,0,0
INV00048,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,FEE,BANK FEE,FEE,0,1,1,-40.0,-40.0,0,,0,Oz,1,note INV00048,1,0
INV00170,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P004,DELTA LAMP,PRODUCT,1,1,9,9.0,81.0,0,CUST022,1,Narnia,1,note INV00170,0,0
INV00150,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P005,EPSILON CLOCK,PRODUCT,1,1,16,12.0,192.0,0,CUST002,1,Oz,1,note INV00150,0,0
INV00128,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,ADJ,STOCK ADJUSTMENT,ADJUSTMENT,0,1,1,-15.0,-15.0,0,,0,Wonderland,1,note INV00128,1,0
INV00192,invoice,2021-05-20 14:00:00,2021,2021-Q2,2021-05,3,14,1,P005,EPSILON CLOCK,PRODUCT,1,1,12,12.0,144.0,0,CUST007,1,Atlantis,1,note INV00192,0,0
INV00094,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,CUST020,1,Atlantis,1,note INV00094,0,0
