order_ref,event_date,client,city,event_type,menu,guests,price_per_guest,order_total,status
CAT-4101,19/01/2024,Peregrine Foundation,Manchester,Conference,Grazing Table,60,26.00,1560.00,Completed
CAT-4102,19/01/2024,Tessellate Ltd,Manchester,Conference,Grazing Table,80,26.00,2080.00,Cancelled
CAT-4103,28/01/2024,Halcyon Media,Bristol,Corporate Lunch,Seated Three Course,40,47.00,1880.00,Completed
CAT-4104,08/01/2024,Brightwater Trust,Leeds,Wedding,Afternoon Tea,20,22.00,440.00,Completed
CAT-4105,12/01/2024,Lyndhurst Group,Leeds,Awards Dinner,Seated Three Course,24,47.00,1128.00,Completed
CAT-4106,02/01/2024,Calder & Voss,London,Product Launch,Afternoon Tea,90,22.00,1980.00,Completed
CAT-4107,25/01/2024,Nordvik Labs,Bristol,Wedding,Grazing Table,35,26.00,910.00,Completed
CAT-4108,24/01/2024,Ashford Partners,London,Conference,Canape Selection,20,18.50,370.00,Completed
CAT-4109,17/01/2024,Tessellate Ltd,Manchester,Conference,Breakfast Service,60,12.75,765.00,Completed
CAT-4110,02/02/2024,Calder & Voss,London,Wedding,Seated Three Course,35,47.00,1645.00,Cancelled
CAT-4111,21/02/2024,Lyndhurst Group,Leeds,Product Launch,Bowl Food,150,31.25,4687.50,Completed
CAT-4112,05/02/2024,Lyndhurst Group,Leeds,Conference,Afternoon Tea,80,22.00,1760.00,Completed
CAT-4113,20/02/2024,Nordvik Labs,Bristol,Conference,Breakfast Service,75,12.75,956.25,Completed
CAT-4114,07/02/2024,Tessellate Ltd,Manchester,Corporate Lunch,Grazing Table,24,26.00,624.00,Completed
CAT-4115,08/02/2024,Brightwater Trust,Leeds,Awards Dinner,Afternoon Tea,60,22.00,1320.00,Completed
CAT-4116,26/02/2024,Ashford Partners,London,Product Launch,Seated Three Course,50,47.00,2350.00,Cancelled
CAT-4117,06/02/2024,Halcyon Media,Bristol,Conference,Grazing Table,45,26.00,1170.00,Completed
CAT-4118,21/02/2024,Halcyon Media,Bristol,Wedding,Breakfast Service,20,12.75,255.00,Completed
CAT-4119,16/02/2024,Nordvik Labs,Bristol,Corporate Lunch,Seated Three Course,90,47.00,4230.00,Completed
CAT-4120,04/03/2024,Marrow Street Studio,Bristol,Awards Dinner,Canape Selection,80,18.50,1480.00,Cancelled
CAT-4121,09/03/2024,Brightwater Trust,Leeds,Wedding,Breakfast Service,35,12.75,446.25,Completed
CAT-4122,21/03/2024,Tessellate Ltd,Manchester,Product Launch,Afternoon Tea,20,22.00,440.00,Completed
CAT-4123,28/03/2024,Brightwater Trust,Leeds,Conference,Canape Selection,150,18.50,2775.00,Completed
