station,reading_date,temperature_c,humidity_pct,wind_kph,pressure_hpa
ST-ALPHA,2024-03-01,17.6,89,10.8,1022.9
ST-BRAVO,2024-03-01,21.9,88,4.4,998.6
ST-CHARLIE,2024-03-01,11.3,29,28.6,995.1
ST-DELTA,2024-03-01,10.1,70,16.2,1013.2
ST-ALPHA,2024-03-02,19.4,48,23.9,1023.1
ST-BRAVO,2024-03-02,-0.1,34,45.5,1020.5
ST-CHARLIE,2024-03-02,6.7,94,42.8,1029.3
ST-DELTA,2024-03-02,26.3,90,24.0,1029.2
ST-ALPHA,2024-03-03,22.7,64,24.7,999.0
ST-BRAVO,2024-03-03,11.1,57,12.0,1027.3
ST-CHARLIE,2024-03-03,-0.5,90,20.0,1022.7
ST-DELTA,2024-03-03,9.2,96,21.9,990.6
ST-ALPHA,2024-03-04,-0.0,33,18.6,1018.5
ST-BRAVO,2024-03-04,-0.8,31,8.2,994.2
ST-CHARLIE,2024-03-04,25.7,29,24.4,999.0
ST-DELTA,2024-03-04,26.3,35,35.6,1016.2
ST-ALPHA,2024-03-05,27.5,90,40.7,1020.7
ST-BRAVO,2024-03-05,4.4,59,38.0,1005.0
ST-CHARLIE,2024-03-05,-1.5,88,17.5,1033.8
ST-DELTA,2024-03-05,18.6,62,18.8,1011.2
ST-ALPHA,2024-03-06,8.8,33,31.4,999.1
ST-BRAVO,2024-03-06,4.7,46,26.2,999.7
ST-CHARLIE,2024-03-06,-1.5,49,10.9,989.5
ST-DELTA,2024-03-06,18.4,58,16.0,1031.8
ST-ALPHA,2024-03-07,13.8,72,6.3,1013.1
ST-BRAVO,2024-03-07,17.0,46,17.3,985.7
ST-CHARLIE,2024-03-07,29.1,76,42.1,1023.0
ST-DELTA,2024-03-07,-2.1,76,16.9,1030.2
ST-ALPHA,2024-03-08,15.1,66,14.9,1021.7
ST-BRAVO,2024-03-08,17.1,68,40.7,1008.6
ST-CHARLIE,2024-03-08,14.0,91,6.2,1005.9
ST-DELTA,2024-03-08,12.5,71,42.0,990.1
ST-ALPHA,2024-03-09,16.6,31,31.7,1018.5
ST-BRAVO,2024-03-09,16.0,43,29.9,1028.8
